RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_002/EQP_137_2,956.0,7.605648535564853,2.0068807027019413,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_137_3,1142.0,7.892294220665499,1.5048132501212392,0.0,False,1.0263895079273607e-32,False,6.996993629045262e-05,BOB
STEP_002/EQP_137_4,770.0,7.653246753246753,1.7370800736312095,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_140_2,435.0,7.731034482758621,2.2877811249695044,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_140_3,381.0,7.7191601049868765,1.2885631851770687,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_140_4,438.0,7.794520547945205,1.1848653230105637,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_143_2,297.0,7.666666666666667,1.1119741393065252,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_143_3,775.0,7.712258064516129,1.389715616246783,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_143_4,643.0,7.670295489891135,1.236832606690735,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_145_2,496.0,7.399193548387097,3.27246229150651,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_145_3,368.0,7.728260869565218,1.6530263608742874,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_145_4,544.0,7.387867647058823,2.3657936526163548,0.0,False,1.0263895079273607e-32,False,1.0,DUMMY
STEP_002/EQP_174_2,57.0,7.315789473684211,3.495700904257983,0.0,False,1.0263895079273607e-32,False,0.08919520345227921,DUMMY
STEP_002/EQP_174_3,47.0,6.76595744680851,3.7428933585933275,0.0,False,1.0263895079273607e-32,False,0.022391397715281314,WOW
STEP_002/EQP_174_4,106.0,7.1415094339622645,1.7095734875792745,0.0,False,1.0263895079273607e-32,False,4.5451557377285625e-05,WOW
STEP_003/EQP_128_2,970.0,7.739175257731959,1.520758100899407,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_128_3,572.0,7.578671328671328,1.3685610517552445,0.0,False,9.038312184051854e-51,False,0.0004698520858374736,WOW
STEP_003/EQP_128_4,997.0,7.661985957873621,1.309943922511153,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_133_2,43.0,6.627906976744186,4.424085893282435,0.0,False,9.038312184051854e-51,False,0.01350942768857855,WOW
STEP_003/EQP_133_3,778.0,7.552699228791774,2.020595160490875,0.0,False,9.038312184051854e-51,False,2.4836639931064496e-05,WOW
STEP_003/EQP_133_4,796.0,7.600502512562814,2.1825378450960926,0.0,False,9.038312184051854e-51,False,0.16266495533009445,DUMMY
STEP_003/EQP_134_2,425.0,7.48,2.3128435491876367,0.0,False,9.038312184051854e-51,False,0.00422487904161446,WOW
STEP_003/EQP_134_3,466.0,7.377682403433476,2.9349682260908394,0.0,False,9.038312184051854e-51,False,0.03448075019817055,WOW
STEP_003/EQP_134_4,459.0,7.350762527233115,2.539868662627308,0.0,False,9.038312184051854e-51,False,0.00012040147215953242,WOW
STEP_003/EQP_136_2,168.0,7.5773809523809526,1.011887569252962,0.0,False,9.038312184051854e-51,False,0.019808216924849287,WOW
STEP_003/EQP_136_3,138.0,7.659420289855072,1.7362446967189236,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_136_4,140.0,7.8,1.3096212863530678,0.0,False,9.038312184051854e-51,False,0.40079112865512695,DUMMY
STEP_003/EQP_137_2,515.0,7.499029126213593,1.6927112657246364,0.0,False,9.038312184051854e-51,False,0.0006197709914784219,WOW
